Page,Description
1,ある<r=ちい>小</r>さな<r=むら>村</r>のはずれに<r=はかせ>博士</r>が<r=す>住</r>んでいました
2,<r=はかせ>博士</r>の<r=けんきゅう>研究</r>はいつも<r=しっぱい>失敗</r>していて<r=むら>村</r>のみんなから<r=か>変</r>わり<r=もの>者</r>とよばれています
3,なので<r=はかせ>博士</r>はひとりぼっちで<r=く>暮</r>らしていました
4,<r=むら>村</r>の<r=ひと>人</r>たちはだれも<r=はかせ>博士</r>の<r=けんきゅう>研究</r>に<r=きょうみ>興味</r>がありませんでした
5,そんななかでたったひとり<r=はかせ>博士</r>の<r=はなし>話</r>を\nねっしんに<r=き>聞</r>く<r=おんな>女</r>の<r=こ>子</r>がいました
6,その<r=おんな>女</r>の<r=こ>子</r>は<r=むら>村</r>でいちばん\n<r=まず>貧</r>しい<r=いえ>家</r>の<r=こ>子</r>どもでした
7,<r=おんな>女</r>の<r=こ>子</r>は<r=はかせ>博士</r>にいいました\n「<r=かぞく>家族</r>を<r=たす>助</r>けられるような<r=はつめい>発明</r>をしたい」
8,けれど<r=むら>村</r>には<r=がっこう>学校</r>がなく<r=まち>町</r>の<r=がっこう>学校</r>に\n<r=い>行</r>けるのはお<r=かねも>金持</r>ちの<r=こ>子</r>どもだけでした
9,<r=おんな>女</r>の<r=こ>子</r>の<r=ことば>言葉</r>に<r=かんどう>感動</r>した<r=はかせ>博士</r>はいいました\n「<r=わたし>私</r>が<r=べんきょう>勉強</r>をおしえてあげるよ」
10,<r=おんな>女</r>の<r=こ>子</r>はそれから<r=なんねんかん>何年間</r>も\nとってもねっしんに<r=べんきょう>勉強</r>しました
11,<r=はかせ>博士</r>の<r=けんきゅう>研究</r>も<r=おんな>女</r>の<r=こ>子</r>が<r=てつだ>手伝</r>うようになってからうまくいくようになりました
12,こうしてふたりの<r=けんきゅう>研究</r>は<r=まち>街</r>でも<r=ちゅうもく>注目</r>され\n<r=おんな>女</r>の<r=こ>子</r>は<r=とくべつ>特別</r>に<r=がっこう>学校</r>で<r=べんきょう>勉強</r>できるように\nなりました
13,そんなある<r=ひ>日</r>とつぜん<r=てがみ>手紙</r>がとどきました\n<r=はかせ>博士</r>が<r=たお>倒</r>れたらしいのです
14,<r=はかせ>博士</r>はいままで<r=びょうき>病気</r>があったことを\n<r=おんな>女</r>の<r=こ>子</r>にかくしていたのです
15,<r=おんな>女</r>の<r=こ>子</r>が<r=いそ>急</r>いで<r=むら>村</r>にもどると\n<r=はかせ>博士</r>はほとんど<r=いしき>意識</r>がありませんでした
16,<r=はかせ>博士</r>はさいごの<r=きりょく>気力を</r>ふりしぼりいいました\n「これからは<r=じぶんじしん>自分自身</r>のために<r=い>生</r>きてくれ」
17,<r=おんな>女</r>の<r=こ>子</r>にそう<r=い>言</r>い<r=つた>伝</r>え\n<r=はかせ>博士</r>は<r=かえ>帰</r>らぬ<r=ひと>人</r>となってしまいました
18,<r=おんな>女</r>の<r=こ>子</r>は<r=がっこう>学校</r>をやめ<r=こ>子</r>どもたちに<r=べんきょう>勉強</r>を<r=おし>教</r>えながら<r=けんきゅう>研究</r>を<r=つづ>続</r>けることにしました
19,どんなに<r=けんきゅう>研究</r>にいきずまっても\n<r=はかせ>博士</r>を<r=おも>思</r>い<r=だ>出</r>してあきらめませんでした
20,それから<r=なが>長</r>い<r=ねんげつ>年月</r>が<r=た>経</r>ったある<r=ひ>日</r>\n<r=おんな>女</r>の<r=こ>子</r>はついにひとつの<r=はつめい>発明</r>をしました
21,それはみんなが<r=たの>楽</r>しく<r=まな>学</r>べる\nクイズのマシンでした
22,それからというもの\n<r=むら>村</r>の<r=こ>子</r>どもたちは<r=べんきょう>勉強</r>に<r=きょうみ>興味</r>を<r=も>持</r>ち\n<r=むら>村</r>からは<r=けんきゅうしゃ>研究者</r>がたくさん<r=う>生</r>まれました
23,<r=むら>村</r>の<r=ひと>人</r>に<r=かんしゃ>感謝</r>された<r=おんな>女</r>の<r=こ>子</r>は\n「クイズ<r=はかせ>博士</r>」\nとよばれるようになりました
